Date,Open,High,Low,Close,Volume
2018-02-06,1.8100,1.8200,1.7500,1.8100,30805
2018-02-05,1.7800,1.7800,1.7000,1.7700,37400
2018-02-02,1.8700,1.8700,1.8000,1.8300,20500
2018-02-01,1.8400,1.9500,1.8300,1.9500,14900
2018-01-31,1.8800,1.8800,1.7500,1.7500,33435
2018-01-30,2.0100,2.0100,1.9000,1.9500,92683
2018-01-29,2.1000,2.1000,1.9800,2.0500,108859
2018-01-26,2.1500,2.1500,2.1500,2.1500,4550
2018-01-25,2.1900,2.1900,2.1000,2.1000,30250
2018-01-24,2.3000,2.3000,2.1700,2.2500,21310
2018-01-23,2.2300,2.2700,2.1300,2.2500,20500
2018-01-22,2.1100,2.2100,2.1100,2.2000,35313
2018-01-19,2.1500,2.1700,2.0000,2.1600,38137
2018-01-18,2.1900,2.2100,2.1800,2.2100,67855
2018-01-17,2.3000,2.3500,2.3000,2.3300,95658
2018-01-12,2.1700,2.2400,2.1500,2.2400,6750
2018-01-11,2.2000,2.2000,2.1000,2.1000,22373
2018-01-10,2.2100,2.2200,2.1200,2.2000,55050
2018-01-09,2.2200,2.2800,2.1200,2.2800,31512
2018-01-08,2.2800,2.3000,2.2000,2.2500,49665
2018-01-05,2.3500,2.3500,2.2500,2.3000,22389
2018-01-04,2.2700,2.3000,2.2700,2.3000,82926
2018-01-03,2.4000,2.4000,2.2300,2.3200,18100
2018-01-02,2.4700,2.4700,2.4400,2.4400,2845
2017-12-29,2.3200,2.3500,2.3200,2.3500,39000
2017-12-28,2.3500,2.3700,2.2900,2.2900,26355
2017-12-27,2.3500,2.4000,2.3000,2.3500,13908
2017-12-26,2.3700,2.4500,2.3500,2.3800,16934
2017-12-22,2.3500,2.4000,2.3500,2.3500,16418
2017-12-21,2.2800,2.3000,2.2500,2.3000,719429
2017-12-20,2.2200,2.2700,2.2000,2.2500,397858
2017-12-05,2.0690,2.0690,2.0690,2.0690,10000
2017-11-08,2.2100,2.2100,2.2100,2.2100,4000
2017-11-06,2.2100,2.2100,2.2100,2.2100,2000
2017-11-01,2.3081,2.3081,2.3081,2.3081,10000
2017-10-23,2.1165,2.1165,2.1165,2.1165,707
2017-10-11,2.1165,2.1165,2.1165,2.1165,10000
